,house_name,house_basic_inf,house_address,house_totalprice,house_unitprice
1,春江花月 ,2室1厅_115.82平米_东南_简装_中楼层(共11层)_板楼,南星,830万,单价71663元/平米
2,复兴东苑 ,2室1厅_60.72平米_东南_简装_低楼层(共6层)_板楼,复兴,255万,单价41997元/平米
3,采荷人家 ,4室2厅_152.64平米_南北_精装_高楼层(共24层)_板楼,采荷,810万,单价53067元/平米
4,城南家园 ,1室2厅_59.95平米_西_精装_低楼层(共21层)_板楼,雄镇楼,205万,单价34196元/平米
5,十亩田家园 ,2室1厅_53.81平米_南_简装_低楼层(共7层)_板楼,复兴,206万,单价38283元/平米
6,凤凰南苑 ,2室1厅_86.51平米_南_精装_高楼层(共28层)_板楼,南星,410万,单价47394元/平米
7,坤和和家园 ,6室4厅_303平米_南北_精装_3层_板塔结合_联排别墅,西溪,1800万,单价59406元/平米
8,桃园新村 ,3室1厅_72.2平米_南_简装_6层_板楼,黄龙,450万,单价62327元/平米
9,众安景海湾 ,3室2厅_138.6平米_南_毛坯_高楼层(共29层)_板楼,萧山科技城,338万,单价24387元/平米
10,广宇上东臻品 ,3室2厅_125.23平米_南北_简装_低楼层(共16层)_板楼,丁桥,336万,单价26831元/平米
11,南都德迦西区 ,3室2厅_106.41平米_南北_简装_高楼层(共5层)_板楼,文三西路,450万,单价42290元/平米
12,良渚文化村白鹭郡北 ,6室2厅_218平米_南_毛坯_5层_板楼,良渚,450万,单价20643元/平米
13,理想康城一品 ,3室2厅_162.02平米_南_毛坯_27层_板楼,临平,495万,单价30552元/平米
14,府新花园东区 ,3室2厅_82.62平米_南西北_简装_中楼层(共5层)_板楼,文三西路,405万,单价49020元/平米
15,亲亲家园二期 ,4室2厅_164平米_南_毛坯_高楼层(共6层)_板塔结合,三墩,420万,单价25610元/平米
16,同人春江时代花园 ,3室2厅_134.38平米_南北_精装_中楼层(共9层)_板塔结合,长河,580万,单价43162元/平米
17,华元欢乐城 ,1室1厅_57.22平米_东_简装_高楼层(共37层)_板楼,临平,78万,单价13632元/平米
18,盛世嘉园 ,3室2厅_121.1平米_南北_简装_高楼层(共6层)_板塔结合,闲林,310万,单价25599元/平米
